Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021-03-02,47.19300,47.40300,46.38000,46.88000,44.34300,-0.87%,1857981
2021-03-03,46.70000,46.98300,45.51700,45.57000,43.10400,-2.79%,1862619
2021-03-04,45.87500,46.71700,45.19000,46.00000,43.51100,0.94%,3552414
2021-03-05,46.35000,48.37000,46.16700,48.23300,45.62300,4.85%,3595821
2021-03-08,48.29700,49.17300,47.95300,48.33000,45.71500,0.20%,5225073
2021-03-09,48.28700,49.84700,48.28700,48.88300,46.23800,1.14%,3341625
2021-03-10,49.02700,49.10300,48.14500,48.18300,45.57600,-1.43%,2215725
2021-03-11,48.30000,48.30000,47.58300,48.03300,45.58800,-0.31%,2143527
2021-03-12,48.18700,48.36300,47.69000,48.14000,45.69000,0.22%,1391295
2021-03-15,48.09700,48.68700,47.69800,48.66300,46.18600,1.09%,1592652
2021-03-16,48.68700,49.02700,48.16000,48.49000,46.02200,-0.36%,2699481
2021-03-17,48.32000,48.59000,47.45000,48.00700,45.56300,-1.00%,5062665
2021-03-18,48.02000,48.63000,47.62300,48.31300,45.85400,0.64%,5465712
2021-03-19,48.33300,48.94300,47.93000,48.58000,46.10700,0.55%,6568962
2021-03-22,48.58000,49.39700,48.25300,49.04000,46.54400,0.95%,3654531
2021-03-23,48.61700,49.64800,48.61700,49.19000,46.68600,0.31%,3894984
2021-03-24,49.24000,49.53700,48.92700,49.11000,46.61000,-0.16%,1930185
2021-03-25,49.17300,49.17300,48.50700,48.85700,46.37000,-0.52%,2036154
2021-03-26,48.89000,50.26700,48.77700,50.24000,47.68300,2.83%,1861275
2021-03-29,49.94300,50.48700,49.71700,50.28000,47.72100,0.08%,1556148
2021-03-30,50.20300,50.28700,49.04700,49.15000,46.64800,-2.25%,2118600
2021-03-31,49.09700,49.72700,49.00300,49.15300,46.65100,0.01%,2665755
2021-04-01,49.39000,50.50700,49.23000,50.28300,47.72400,2.30%,1964418
2021-04-05,50.33300,50.80000,50.23700,50.70000,48.11900,0.83%,2197464
2021-04-06,50.59000,50.99300,50.44700,50.88700,48.29700,0.37%,1449054
2021-04-07,50.87300,50.89700,50.02000,50.26000,47.70200,-1.23%,2040864
2021-04-08,50.63000,51.24000,50.51700,51.17300,48.56900,1.82%,2213004
2021-04-09,51.40300,52.12000,51.27000,52.03300,49.38500,1.68%,1765737
2021-04-12,52.12700,52.41300,51.89700,52.03000,49.38200,-0.01%,1774107
