Date,Open,High,Low,Close,Adj. Close,Change,Volume
2011-03-22,119.18000,119.30000,118.69800,118.74000,91.84400,-0.35%,137800
2011-03-23,118.52000,119.42000,117.94000,119.12000,92.13800,0.32%,204100
2011-03-24,119.82000,120.38000,119.20000,120.23100,92.99700,0.93%,110800
2011-03-25,120.02000,120.58000,119.78000,120.06000,93.27900,-0.14%,134300
2011-03-28,120.38000,120.64000,119.76800,119.80000,93.07700,-0.22%,166100
2011-03-29,119.70000,120.62000,119.29400,120.58400,93.68600,0.65%,110900
2011-03-30,121.24000,121.74000,121.12800,121.40000,94.32000,0.68%,105500
2011-03-31,121.30000,121.56000,121.10000,121.24000,94.19600,-0.13%,127500
2011-04-01,122.12000,122.34000,121.50000,121.80000,94.63100,0.46%,70400
2011-04-04,122.10000,122.26000,121.52000,121.86000,94.67800,0.05%,78800
2011-04-05,121.56000,122.32000,121.56000,121.86000,94.67800,,204900
2011-04-06,122.48000,122.50000,121.78000,122.22000,94.95700,0.30%,142900
2011-04-07,122.06000,122.50000,121.36000,122.00000,94.78700,-0.18%,107100
2011-04-08,122.50000,122.52000,121.02000,121.54000,94.42900,-0.38%,86800
2011-04-11,121.68000,122.02000,120.92000,121.12800,94.10900,-0.34%,139600
2011-04-12,120.50000,120.60000,119.80000,120.24000,93.41900,-0.73%,104800
2011-04-13,120.84000,120.90000,119.80000,120.28000,93.45000,0.03%,185100
2011-04-14,119.58000,120.49600,119.16000,120.30000,93.46600,0.02%,78400
2011-04-15,120.50000,121.04000,120.22000,120.72000,93.79200,0.35%,79700
2011-04-18,119.30000,119.60000,118.44000,119.40000,92.76600,-1.09%,151600
2011-04-19,119.62000,120.14000,119.32000,120.14000,93.34100,0.62%,78900
2011-04-20,121.58000,121.98000,121.48000,121.76000,94.60000,1.35%,173200
2011-04-21,122.38000,122.38000,121.94000,122.29800,95.01800,0.44%,197800
2011-04-25,122.32000,122.40000,121.82600,122.18000,94.92600,-0.10%,99000
2011-04-26,122.62000,123.50000,122.52600,123.24700,95.75500,0.87%,85000
2011-04-27,123.56000,124.24000,123.00000,124.04000,96.37100,0.64%,72800
2011-04-28,123.90000,124.60000,123.86000,124.44000,96.68200,0.32%,66000
2011-04-29,124.50000,124.88000,124.41800,124.80000,96.96200,0.29%,99000
2011-05-02,125.44000,125.44000,124.32200,124.52000,96.74400,-0.22%,131000
2011-05-03,124.36000,124.52000,123.50000,124.12000,96.43400,-0.32%,66500
2011-05-04,124.10000,124.10000,122.78000,123.27800,95.77900,-0.68%,107000
2011-05-05,122.62000,123.35200,121.64000,122.20400,94.94500,-0.87%,98900
2011-05-06,123.48000,124.00000,122.28000,122.78000,95.39300,0.47%,138500
2011-05-09,122.80000,123.58000,122.58000,123.28000,95.78100,0.41%,66000
2011-05-10,123.66000,124.48000,123.52000,124.29000,96.56600,0.82%,175500
2011-05-11,124.12000,124.12000,122.41800,122.98000,95.54800,-1.05%,174400
2011-05-12,122.68000,123.74000,122.02000,123.64000,96.06100,0.54%,113500
2011-05-13,123.62000,123.70000,122.20000,122.56800,95.22800,-0.87%,126400
2011-05-16,122.20000,123.02000,121.62000,121.80000,94.63100,-0.63%,113500
2011-05-17,121.36000,121.86000,120.92000,121.78000,94.61600,-0.02%,142400
2011-05-18,121.90000,122.98000,121.68000,122.92000,95.50100,0.94%,70500
2011-05-19,123.34000,123.46000,122.64000,123.08000,95.62600,0.13%,266600
2011-05-20,122.86000,123.00000,122.00000,122.24900,94.98000,-0.68%,95400
2011-05-23,120.70000,121.15800,120.40000,120.80000,93.85400,-1.19%,136200
2011-05-24,121.16000,121.36000,120.52000,120.70000,93.77700,-0.08%,89600
2011-05-25,120.16000,121.50000,120.16000,121.10000,94.08700,0.33%,62300
2011-05-26,120.78000,121.80000,120.54000,121.58000,94.46000,0.40%,60400
2011-05-27,121.98000,122.40000,121.86000,122.11200,94.87400,0.44%,47600
2011-05-31,123.30000,123.36000,122.41800,123.34000,95.82800,1.01%,172500
2011-06-01,123.04000,123.04000,120.54000,120.60000,93.69900,-2.22%,222000
2011-06-02,120.70000,120.92000,119.82000,120.46000,93.59000,-0.12%,211800
2011-06-03,119.00000,120.18000,119.00000,119.30000,92.68900,-0.96%,148400
2011-06-06,119.06000,119.18000,117.93300,118.04000,91.71000,-1.06%,113200
2011-06-07,118.52000,118.94000,117.86000,117.88000,91.58600,-0.14%,203700
2011-06-08,117.70000,118.08800,117.26000,117.40000,91.21300,-0.41%,87600
2011-06-09,117.78000,118.78400,117.46200,118.29700,91.91000,0.76%,43300
2011-06-10,117.84000,117.86000,116.40000,116.64000,90.62200,-1.40%,106700
2011-06-13,116.90000,117.22000,116.18000,116.72000,90.68400,0.07%,77900
2011-06-14,117.82000,118.66000,117.82000,118.22000,91.85000,1.29%,75400
2011-06-15,117.28000,117.56000,115.90000,116.16000,90.24900,-1.74%,79700
2011-06-16,116.20000,116.90700,115.54000,116.38000,90.42000,0.19%,66000
2011-06-17,117.48000,117.50000,116.38000,116.70000,90.66900,0.27%,58800
2011-06-20,116.34000,117.56000,116.32000,117.36000,91.18200,0.57%,53700
2011-06-21,117.94000,119.15500,117.84000,118.96000,92.42500,1.36%,132400
2011-06-22,118.66000,119.26000,118.20000,118.26000,91.88100,-0.59%,106000
2011-06-23,116.84000,117.90400,116.00000,117.86400,91.57300,-0.33%,260700
2011-06-24,117.32000,117.36000,115.80000,116.00000,90.56800,-1.58%,114500
2011-06-27,116.08000,117.42600,115.82600,116.98000,91.33300,0.84%,77800
2011-06-28,117.48000,118.52000,117.36000,118.48000,92.50400,1.28%,59500
2011-06-29,119.10000,119.70000,118.66800,119.54000,93.33200,0.89%,125300
2011-06-30,119.94000,120.84000,119.82000,120.68000,94.22200,0.95%,124800
2011-07-01,120.74000,122.60000,120.54000,122.50000,95.64300,1.51%,139500
2011-07-05,122.40000,122.60000,122.00000,122.30000,95.48700,-0.16%,91800
2011-07-06,122.08000,122.64000,121.76000,122.48000,95.62700,0.15%,94800
2011-07-07,123.58000,124.10000,123.38000,123.82000,96.67300,1.09%,195400
2011-07-08,122.40000,122.98000,122.02000,122.98000,96.01700,-0.68%,105600
2011-07-11,121.44000,121.84000,120.44600,120.70000,94.23700,-1.85%,92700
2011-07-12,120.46000,121.42000,120.16000,120.16000,93.81600,-0.45%,132400
2011-07-13,120.82000,121.82000,120.32000,120.58000,94.14400,0.35%,129700
2011-07-14,120.92000,121.38000,119.52000,119.80000,93.53500,-0.65%,55900
2011-07-15,120.46000,120.58000,119.64000,120.46000,94.05000,0.55%,40300
2011-07-18,119.94000,120.02000,118.56000,119.44000,93.25400,-0.85%,94000
2011-07-19,120.14000,121.48000,120.08000,121.38000,94.76800,1.62%,233300
2011-07-20,121.76000,121.78000,121.15800,121.38000,94.76800,,90700
2011-07-21,122.00000,123.24400,121.78000,123.00000,96.03300,1.33%,234200
2011-07-22,123.00000,123.20000,122.40000,123.10000,96.11100,0.08%,90200
2011-07-25,121.88000,123.00000,121.80700,122.40000,95.56500,-0.57%,183600
2011-07-26,122.32000,122.50000,121.68000,121.88000,95.15900,-0.42%,138800
2011-07-27,121.20000,121.24000,119.30000,119.46000,93.26900,-1.99%,470300
2011-07-28,119.42000,120.48000,118.96000,119.12000,93.00400,-0.28%,169100
2011-07-29,117.96000,119.36000,117.44000,118.20000,92.28500,-0.77%,194600
2011-08-01,119.78000,119.82000,116.68000,117.78000,91.95800,-0.36%,435900
2011-08-02,116.96000,117.50000,114.78000,114.84200,89.66400,-2.49%,258400
2011-08-03,114.96000,115.54000,112.98000,115.42000,90.11500,0.50%,380500
